Grid ID,Start,End,Height,Width,Neighbouring Grids,No. of Nodes,Nodes,Centroid,Avg. RE

1,(0 0),(50 50),50,50,2; 11; ,3,72; 188; 487; ,(26 37),0.103833
2,(0 50),(50 100),50,50,1; 3; 12; ,4,138; 193; 330; 494; ,(36 88),0.263525
3,(0 100),(50 150),50,50,2; 4; 13; ,5,94; 205; 357; 377; 415; ,(32 120),0.12266
4,(0 150),(50 200),50,50,3; 5; 14; ,7,41; 164; 233; 236; 280; 288; 390; ,(26 165),0.265457
5,(0 200),(50 250),50,50,4; 6; 15; ,8,45; 124; 139; 180; 237; 268; 316; 349; ,(29 229),0.081175
6,(0 250),(50 300),50,50,5; 7; 16; ,4,82; 299; 384; 469; ,(38 279),0.256325
7,(0 300),(50 350),50,50,6; 8; 17; ,4,290; 335; 372; 438; ,(19 333),0.25105
8,(0 350),(50 400),50,50,7; 9; 18; ,4,70; 107; 281; 373; ,(20 388),0.214275
9,(0 400),(50 450),50,50,8; 10; 19; ,1,257; ,(31 411),0.0686
10,(0 450),(50 500),50,50,9; 20; ,8,15; 116; 165; 222; 267; 285; 312; 452; ,(30 480),0.306025
11,(50 0),(100 50),50,50,1; 12; 21; ,7,65; 122; 158; 198; 274; 397; 432; ,(76 36),0.112914
12,(50 50),(100 100),50,50,2; 11; 13; 22; ,6,171; 196; 242; 265; 338; 463; ,(84 75),0.3354
13,(50 100),(100 150),50,50,3; 12; 14; 23; ,5,39; 276; 344; 418; 496; ,(80 126),0.33994
14,(50 150),(100 200),50,50,4; 13; 15; 24; ,6,40; 108; 238; 421; 431; 451; ,(74 177),0.143467
15,(50 200),(100 250),50,50,5; 14; 16; 25; ,7,12; 131; 229; 249; 291; 294; 400; ,(72 230),0.304186
16,(50 250),(100 300),50,50,6; 15; 17; 26; ,4,14; 46; 49; 173; ,(68 261),0.11015
17,(50 300),(100 350),50,50,7; 16; 18; 27; ,3,352; 427; 489; ,(66 325),0.3957
18,(50 350),(100 400),50,50,8; 17; 19; 28; ,3,9; 181; 417; ,(74 371),0.226133
19,(50 400),(100 450),50,50,9; 18; 20; 29; ,8,34; 57; 194; 199; 202; 318; 331; 394; ,(75 430),0.294387
20,(50 450),(100 500),50,50,10; 19; 30; ,5,96; 130; 297; 437; 444; ,(68 474),0.39408
21,(100 0),(150 50),50,50,11; 22; 31; ,5,24; 168; 252; 333; 342; ,(121 13),0.15832
22,(100 50),(150 100),50,50,12; 21; 23; 32; ,7,78; 172; 179; 263; 412; 483; 488; ,(124 65),0.3074
23,(100 100),(150 150),50,50,13; 22; 24; 33; ,6,22; 84; 153; 239; 453; 474; ,(123 125),0.258317
24,(100 150),(150 200),50,50,14; 23; 25; 34; ,4,353; 358; 465; 473; ,(111 185),0.077975
25,(100 200),(150 250),50,50,15; 24; 26; 35; ,5,167; 187; 253; 376; 498; ,(130 223),0.16806
26,(100 250),(150 300),50,50,16; 25; 27; 36; ,5,16; 284; 339; 378; 403; ,(127 273),0.33548
27,(100 300),(150 350),50,50,17; 26; 28; 37; ,5,53; 73; 336; 458; 478; ,(127 318),0.18348
28,(100 350),(150 400),50,50,18; 27; 29; 38; ,5,6; 88; 146; 150; 443; ,(125 374),0.26002
29,(100 400),(150 450),50,50,19; 28; 30; 39; ,5,90; 111; 134; 166; 401; ,(108 412),0.19364
30,(100 450),(150 500),50,50,20; 29; 40; ,6,155; 191; 209; 289; 321; 362; ,(119 473),0.2722
31,(150 0),(200 50),50,50,21; 32; 41; ,4,42; 86; 250; 399; ,(180 26),0.256975
