Grid ID,No. of Nodes,Nodes,Centroid,Avg. RE,Grid Size,Subgrids

3,32,14; 54; 92; 93; 116; 136; 143; 150; 152; 207; 230; 236; 251; 271; 272; 336; 380; 395; 429; 457; 511; 570; 607; 667; 743; 750; 776; 802; 845; 871; 886; 964; ,25 80,7.37339,3,2; 1; 
4,5,26; 102; 154; 191; 451; ,26 180,7.48473,1,
5,18,13; 17; 19; 135; 162; 180; 203; 204; 252; 306; 370; 376; 544; 568; 596; 709; 937; 979; ,25 227,7.59128,1,
6,40,40; 61; 79; 94; 144; 200; 243; 255; 270; 322; 324; 329; 344; 407; 413; 417; 430; 454; 463; 514; 530; 543; 578; 592; 658; 682; 688; 725; 772; 775; 781; 858; 864; 874; 884; 920; 921; 949; 960; 980; ,44 294,7.40018,3,16; 7; 
8,46,20; 23; 28; 57; 151; 184; 198; 202; 211; 232; 258; 260; 281; 294; 308; 333; 392; 400; 424; 427; 439; 489; 492; 501; 515; 590; 628; 679; 702; 724; 765; 766; 784; 790; 798; 813; 827; 839; 848; 900; 906; 914; 922; 936; 990; 996; ,36 402,7.39041,4,9; 18; 10; 
11,51,11; 16; 45; 50; 109; 190; 193; 217; 223; 241; 245; 247; 248; 291; 296; 320; 352; 460; 472; 490; 504; 516; 517; 524; 539; 627; 632; 650; 654; 655; 670; 695; 707; 708; 711; 719; 779; 855; 865; 899; 908; 909; 919; 933; 938; 943; 955; 961; 973; 988; 991; ,157 58,7.09851,5,21; 22; 32; 42; 
12,9,117; 174; 269; 274; 518; 729; 762; 785; 939; ,75 76,7.96072,1,
13,8,163; 170; 316; 327; 464; 714; 748; 815; ,70 128,8.05113,1,
14,12,134; 334; 502; 554; 600; 635; 643; 726; 735; 755; 801; 967; ,101 169,7.47283,2,24; 
15,12,44; 53; 105; 186; 187; 225; 250; 328; 360; 470; 527; 978; ,75 221,7.56952,1,
17,18,34; 99; 114; 146; 262; 264; 339; 408; 466; 547; 660; 676; 704; 730; 782; 840; 843; 889; ,111 322,7.46562,2,27; 
19,8,149; 509; 597; 634; 669; 795; 837; 869; ,74 431,7.95713,1,
20,4,148; 745; 969; 982; ,68 476,8.34098,1,
23,9,31; 83; 165; 340; 365; 420; 512; 521; 594; ,123 122,7.64755,1,
25,18,59; 131; 199; 208; 275; 362; 465; 529; 532; 542; 573; 705; 717; 809; 817; 851; 904; 951; ,120 223,7.66872,1,
26,8,147; 277; 282; 304; 345; 792; 863; 873; ,123 276,7.48301,1,
28,9,1; 63; 314; 435; 493; 721; 763; 777; 941; ,122 373,8.53211,1,
29,44,9; 38; 62; 67; 71; 74; 107; 123; 167; 175; 192; 201; 205; 372; 396; 399; 419; 428; 437; 471; 474; 488; 507; 513; 587; 620; 663; 686; 706; 713; 740; 753; 773; 786; 791; 808; 818; 823; 860; 882; 912; 950; 959; 993; ,187 415,7.21858,5,39; 49; 48; 50; 
30,9,41; 168; 189; 397; 469; 598; 668; 821; 935; ,118 469,7.90724,1,
