
Node ID,Coordinates,Initial Energy,Residual Energy

1,(129 392),5.67019,5.67019
2,(190 453),5.5678,5.5678
3,(154 39),6.57186,6.57186
4,(402 496),7.27561,7.27561
5,(333 388),9.73785,9.73785
6,(436 137),5.72329,5.72329
7,(337 1),9.9968,9.9968
8,(360 207),5.40895,5.40895
9,(234 423),9.03424,9.03424
10,(336 13),9.47813,9.47813
11,(177 71),5.33036,5.33036
12,(176 195),8.08054,8.08054
13,(48 209),8.66726,8.66726
14,(26 48),6.90451,6.90451
15,(270 454),7.88903,7.88903
16,(243 58),7.76208,7.76208
17,(21 239),7.43904,7.43904
18,(485 463),8.2728,8.2728
19,(2 232),8.71883,8.71883
20,(5 370),8.71746,8.71746
21,(497 428),9.626,9.626
22,(411 483),6.63701,6.63701
23,(9 434),7.86599,7.86599
24,(377 478),9.38063,9.38063
25,(372 12),8.91614,8.91614
26,(39 186),7.15171,7.15171
27,(339 200),5.97369,5.97369
28,(32 371),9.82009,9.82009
29,(285 158),9.97314,9.97314
30,(476 339),5.45991,5.45991
31,(119 112),5.93066,5.93066
32,(177 261),7.88614,7.88614
33,(349 235),5.59664,5.59664
34,(99 303),9.99695,9.99695
35,(359 496),8.78567,8.78567
36,(172 158),5.13321,5.13321
37,(166 140),9.9469,9.9469
38,(205 403),5.55391,5.55391
39,(317 303),5.64806,5.64806
40,(17 278),6.11087,6.11087
41,(106 490),5.80172,5.80172
42,(339 146),7.94656,7.94656
43,(260 78),9.79568,9.79568
44,(98 248),7.11829,7.11829
45,(227 93),6.31687,6.31687
46,(414 139),7.12775,7.12775
47,(168 139),5.70315,5.70315
48,(409 120),8.01523,8.01523
49,(164 49),9.25642,9.25642
50,(103 26),8.59493,8.59493
51,(470 230),9.21644,9.21644
52,(395 146),8.18323,8.18323
53,(56 245),9.16166,9.16166
54,(2 82),5.4294,5.4294
55,(413 55),5.58489,5.58489
56,(240 266),5.23118,5.23118
57,(54 362),5.43016,5.43016
58,(206 208),5.81606,5.81606
59,(100 243),9.57762,9.57762
60,(338 89),7.53853,7.53853
61,(89 270),6.77023,6.77023
62,(113 442),8.38389,8.38389
63,(124 351),9.39451,9.39451
64,(152 223),9.23048,9.23048
65,(245 10),5.00168,5.00168
66,(364 490),5.21317,5.21317
67,(229 493),8.59798,8.59798
68,(368 473),8.67779,8.67779
69,(430 40),8.67077,8.67077
70,(309 416),9.85351,9.85351
71,(226 368),7.77932,7.77932
72,(356 350),9.11695,9.11695
73,(479 161),9.44868,9.44868
74,(239 410),5.19272,5.19272
75,(390 83),5.18067,5.18067
76,(331 149),7.48222,7.48222
77,(354 58),6.78152,6.78152
78,(426 99),8.52611,8.52611
79,(40 250),7.99127,7.99127
80,(350 349),5.04486,5.04486
81,(199 317),8.76217,8.76217
82,(405 391),8.6639,8.6639
83,(124 149),8.53496,8.53496
84,(476 376),5.95248,5.95248
85,(394 107),9.68932,9.68932
86,(441 376),7.42561,7.42561
87,(336 335),7.07068,7.07068
88,(281 355),7.26234,7.26234
89,(229 47),7.28736,7.28736
90,(346 188),5.3621,5.3621
91,(241 157),5.42146,5.42146
92,(22 43),6.56316,6.56316
93,(34 60),5.05112,5.05112
94,(11 294),9.04965,9.04965
95,(226 315),8.15424,8.15424
96,(195 192),5.77822,5.77822
97,(168 203),7.68777,7.68777
98,(353 74),9.7998,9.7998
99,(100 332),5.52431,5.52431
100,(380 51),7.24372,7.24372
101,(412 336),5.12177,5.12177
102,(40 181),6.13025,6.13025
103,(447 318),9.90951,9.90951
104,(322 238),5.6563,5.6563
105,(66 215),8.03507,8.03507
106,(174 473),9.83871,9.83871
107,(139 448),9.94644,9.94644
108,(480 490),6.9837,6.9837
109,(214 99),5.40651,5.40651
110,(376 373),8.02194,8.02194
111,(179 254),9.09284,9.09284
112,(412 413),7.93191,7.93191
113,(433 122),7.02445,7.02445
114,(67 300),5.89022,5.89022
115,(311 21),7.83074,7.83074
116,(44 139),7.06305,7.06305
117,(99 56),6.43742,6.43742
118,(366 398),7.71203,7.71203
119,(484 400),6.23295,6.23295
120,(429 378),6.15635,6.15635
121,(414 292),7.31361,7.31361
122,(253 95),5.73977,5.73977
123,(228 418),6.10691,6.10691
124,(215 145),7.90841,7.90841
125,(319 5),8.67687,8.67687
126,(177 19),9.45799,9.45799
127,(422 325),9.44014,9.44014
128,(322 233),8.5638,8.5638
129,(151 258),6.98859,6.98859
130,(317 482),9.99557,9.99557
131,(100 239),7.36137,7.36137
132,(483 247),6.57231,6.57231
133,(233 209),5.5443,5.5443
134,(81 150),7.04947,7.04947
135,(39 243),6.33915,6.33915
136,(22 52),5.86459,5.86459
137,(223 285),9.15296,9.15296
138,(358 262),8.16218,8.16218
139,(335 495),5.83453,5.83453
140,(203 39),9.84024,9.84024
141,(154 173),9.56862,9.56862
142,(466 156),7.69448,7.69448
143,(15 128),9.12839,9.12839
144,(14 308),9.66353,9.66353
145,(427 164),9.64263,9.64263
146,(112 329),5.34135,5.34135
147,(134 269),6.54103,6.54103
148,(52 461),7.95907,7.95907
149,(90 446),6.6654,6.6654
150,(42 55),6.53157,6.53157
151,(4 380),7.76299,7.76299
152,(43 149),6.50197,6.50197
153,(376 172),7.86615,7.86615
154,(29 156),9.55535,9.55535
155,(251 161),7.5161,7.5161
